card_name,card_type,color,cmc,power_rank,power_score,pctrank_power,deck_count,total_copies,unscored,unscored_reason,prevalence_flat,prevalence_placement,prevalence_prestige,prevalence_combined,pctrank_prevalence_flat,pctrank_prevalence_placement,pctrank_prevalence_prestige,pctrank_prevalence_combined,gap_flat,gap_placement,gap_prestige,gap_combined
Overlord of the Balemurk,Creature,Black,5.0,13253.0,14491.0,36.186186186186184,15,59,False,scored,0.047929,0.060188,0.043544,0.064356,77.0582329317269,78.56425702811245,75.85341365461848,78.81526104417671,40.87204674554072,42.37807084192627,39.667227468432294,42.629074857990524
Flickerwisp,Creature,White,3.0,12114.0,15630.0,39.18918918918919,36,75,False,scored,0.060926,0.053009,0.056557,0.043412,79.86947791164658,76.90763052208835,78.81526104417671,74.19678714859438,40.68028872245739,37.71844133289916,39.626071854987515,35.00759795940519
Crucible of Worlds,Artifact,Colorless,3.0,21662.0,6082.0,12.912912912912914,9,10,False,scored,0.008123,0.0,0.013013,0.0,53.26305220883534,13.504016064257028,61.19477911646586,13.504016064257028,40.350139295922425,0.5911031513441145,48.281866203552944,0.5911031513441145
Ramunap Excavator,Creature,Green,3.0,21918.0,5826.0,11.561561561561561,9,9,False,scored,0.007311,0.0127,0.005506,0.008759,51.907630522088354,54.21686746987952,46.4859437751004,51.40562248995984,40.34606896052679,42.655305908317956,34.92438221353884,39.84406092839828
Abrupt Decay,Instant,Multicolor,2.0,16715.0,11029.0,26.276276276276278,13,25,False,scored,0.020309,0.025953,0.016517,0.020183,66.5160642570281,66.71686746987952,64.30722891566265,62.5,40.23978798075183,40.44059119360324,38.03095263938637,36.22372372372372
Imperial Recruiter,Creature,Red,3.0,21896.0,5848.0,11.711711711711711,3,9,False,scored,0.007311,0.006626,0.006507,0.00457,51.907630522088354,47.48995983935743,49.69879518072289,45.33132530120482,40.19591881037664,35.778248127645725,37.98708346901118,33.61961358949311
Ancient Cellarspawn,Creature,Black,3.0,22832.0,4912.0,9.45945945945946,2,8,False,scored,0.006499,0.019879,0.008008,0.038081,49.34738955823293,62.75100401606426,53.56425702811245,71.78714859437751,39.887930098773474,53.2915445566048,44.10479756865299,62.32768913491805
Serra's Emissary,Creature,White,7.0,23662.0,4082.0,7.807807807807808,7,7,False,scored,0.005686,0.000552,0.006507,0.001142,46.4859437751004,28.664658634538153,49.69879518072289,33.433734939759034,38.6781359672926,20.856850826730344,41.890987372915085,25.625927131951226
Kaldra Compleat,Artifact,Colorless,7.0,13667.0,14077.0,34.53453453453454,41,41,False,scored,0.033306,0.021535,0.034034,0.017898,72.84136546184739,63.90562248995984,72.69076305220884,61.09437751004016,38.30683092731285,29.371087955425303,38.1562285176743,26.559842975505624
Tendrils of Agony,Sorcery,Black,4.0,15222.0,12522.0,29.57957957957958,28,28,False,scored,0.022746,0.024848,0.021522,0.020183,67.62048192771084,66.16465863453816,67.06827309236948,62.5,38.04090234813126,36.58507905495858,37.4886935127899,32.92042042042042
Go for the Throat,Instant,Black,2.0,16863.0,10881.0,25.525525525525527,16,19,False,scored,0.015435,0.023192,0.02002,0.036558,63.403614457831324,65.26104417670683,66.214859437751,71.08433734939759,37.8780889323058,39.73551865118131,40.68933391222548,45.55881182387206
Bonecrusher Giant,Creature,Red,3.0,23098.0,4646.0,9.00900900900901,3,7,False,scored,0.005686,0.013252,0.004505,0.009139,46.4859437751004,55.52208835341366,43.92570281124498,52.610441767068274,37.47693476609139,46.513079344404645,34.91669380223597,43.60143275805926
